"","Sample","Week","Treatment","Weight.x","Temperature","HeartRate","RespiratoryRate","SubmandibularLN","PrescapularLN","PoplitealLN","salDNA","salcDNA","blDNA","blcDNA","blNeut","blCD4CD183","blCD4CCR4","blCD4CCR6","blCD4","blCD8","blCD21","blCD4CD8CD21","blTCells","blBTratio","blCD4CD8ratio","lnCD4CD183","lnCD4CCR4","lnCD4CCR6","lnCD4","lnCD8","lnCD21","lnCD4CD8CD21","lnTCells","lnBTratio","lnCD4CD8ratio","tonCD4CD183","tonCD4CCR4","tonCD4CCR6","tonCD4","tonCD8","tonCD21","tonFoxP3","tonCD4CD8CD21","tonTCells","tonBTratio","tonCD4CD8ratio","Sex","Age","Weight.y","WgtCng","GingInf","GumLoss","LNLsize","LNRsize","MG408-9Les","MG308-9Les"
"1",4534,-1,"Placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",275,4.3,0,0.79,0.38,0,0,0,0
"2",4534,0,"Placebo",4.4,99.5,130,72,0,0,0,NA,NA,0,0,2000,5,1.1,0.1,27.6,7.5,27.3,62.4,35.1,0.777777777777778,3.68,0.3,1.8,0.2,32.4,18,37.9,88.3,50.4,0.751984126984127,1.16975308641975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",4534,1,"Placebo",4.4,101.1,148,60,2,2,2,NA,NA,535.830973644086,95771.4285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4534,2,"Placebo",4.5,100.7,190,54,1,0,0,2758.62068965517,186685.714285714,94215.6003505697,255085714.285714,NA,1.9,3.1,1.9,34.9,8.3,20.6,63.8,43.2,0.476851851851852,4.20481927710843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",4534,3,"Placebo",4.5,98.5,174,40,1,0,0,NA,NA,34178.6108048512,1874285.71428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",4534,4,"Placebo",4.45,100.7,198,60,0,0,1,NA,NA,22759.0591226955,53028.5714285714,1508,2,0.8,0.5,21.5,19.1,41.8,82.4,40.6,1.02955665024631,4.20481927710843,0.1,2.9,0.1,22.1,12.3,57.6,92,34.4,1.67441860465116,2.60633484162896,2.2,8.1,7.1,20.2,6.7,64.6,0.6,91.5,26.9,2.40148698884758,3.01492537313433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",4534,5,"Placebo",4.4,100.4,NA,NA,1,0,0,NA,NA,38138.1381381381,219428.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",308,4.3,0,0.84,0.51,0,0,2,1
"8",4534,6,"Placebo",4.4,101,160,36,1,0,0,268750,69751.1520737327,30403.5874439462,225828.571428571,168,1.7,5.5,3.2,21.3,22.5,22.5,66.3,43.8,0.513698630136986,0.946666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",4534,7,"Placebo",4.4,100.4,128,56,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",4534,8,"Placebo",4.4,100,170,42,0,0,0,NA,NA,25906.1200237671,69942.8571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",4534,9,"Placebo",4.3,100.9,190,48,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",4534,10,"Placebo",4.4,100,150,42,0,0,0,NA,NA,44824.1206030151,18057.1428571429,390,0.6,6.1,1.5,16.2,6.2,32,54.4,22.4,1.42857142857143,2.61290322580645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",4534,11,"Placebo",4.5,100.2,180,42,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,0.9,1.6,27.2,20,43.2,90.4,47.2,0.915254237288136,1.58823529411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",357,4.3,0,1.35,0.77,0,0,2,1
"14",4534,12,"Placebo",4.5,99.4,190,48,0,0,0,39393.9393939394,9924.81203007519,34603.1746031746,14400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
