"","Otu00001","Otu00002","Otu00003","Otu00004","Otu00005","Otu00006","Otu00007","Otu00008","Otu00009","Otu00010","Otu00011","Otu00012","Otu00013","Otu00014","Otu00015","Otu00016","Otu00017","Otu00018","Otu00019","Otu00020","Otu00021","Otu00022","Otu00023","Otu00024","Otu00025","Otu00026","Otu00027","Otu00028","Otu00029","Otu00030","Otu00031","Otu00032","Otu00033","Otu00034","Otu00035","Otu00036","Otu00037","Otu00038","Otu00039","Otu00040","Otu00041","Otu00042","Otu00043","Otu00044","Otu00045","Otu00046","Otu00047","Otu00048","Otu00049","Otu00050","Otu00051","Otu00052","Otu00053","Otu00054","Otu00055","Otu00056","Otu00057","Otu00058","Otu00059","Otu00060","Otu00061","Otu00062","Otu00063","Otu00064","Otu00065","Otu00066","Otu00067","Otu00068","Otu00069","Otu00070","Otu00071","Otu00072","Otu00073","Otu00074","Otu00075","Otu00076","Otu00077","Otu00078","Otu00079","Otu00080","Otu00081","Otu00082","Otu00083","Otu00084","Otu00085","Otu00086","Otu00087","Otu00088","Otu00089","Otu00090","Otu00091","Otu00092","Otu00093","Otu00094","Otu00095","Otu00096","Otu00097","Otu00098","Otu00099","Otu00100","Otu00101","Otu00102","Otu00103","Otu00104","Otu00105","Otu00106","Otu00107","Otu00108","Otu00109","Otu00110","Otu00111","Otu00112","Otu00113","Otu00114","Otu00115","Otu00116","Otu00117","Otu00118","Otu00119","Otu00120","Otu00121","Otu00122","Otu00123","Otu00124","Otu00125","Otu00126","Otu00127","Otu00128","Otu00129","Otu00130","Otu00131","Otu00132","Otu00133","Otu00134","Otu00135","Otu00136","Otu00138","Otu00139","Otu00140","Otu00141","Otu00142","Otu00143","Otu00144","Otu00145","Otu00146","Otu00147","Otu00148","Otu00149","Otu00150","Otu00151","Otu00152","Otu00153","Otu00154","Otu00155","Otu00156","Otu00157","Otu00160","Otu00161","Otu00162","Otu00163","Otu00164","Otu00165","Otu00166","Otu00168","Otu00169","Otu00170","Otu00171","Otu00172","Otu00173","Otu00174","Otu00175","Otu00176","Otu00177","Otu00178","Otu00179","Otu00180","Otu00181","Otu00182","Otu00183","Otu00184","Otu00187","Otu00191","Otu00192","Otu00193","Otu00194","Otu00195","Otu00196","Otu00198","Otu00199","Otu00201","Otu00204","Otu00205","Otu00209","Otu00211","Otu00212","Otu00214","Otu00216","Otu00218","Otu00221","Otu00223","Otu00225","Otu00226","Otu00227","Otu00228","Otu00230","Otu00231","Otu00234","Otu00235","Otu00236","Otu00238","Otu00239","Otu00240","Otu00241","Otu00242","Otu00244","Otu00245","Otu00246","Otu00248","Otu00253","Otu00254","Otu00255","Otu00256","Otu00257","Otu00258","Otu00259","Otu00261","Otu00262","Otu00264","Otu00265","Otu00268","Otu00269","Otu00270","Otu00273","Otu00274","Otu00275","Otu00276","Otu00277","Otu00280","Otu00284","Otu00285","Otu00288","Otu00289","Otu00290","Otu00293","Otu00298","Otu00301","Otu00302","Otu00303","Otu00304","Otu00306","Otu00307","Otu00312","Otu00313","Otu00314","Otu00316","Otu00319","Otu00322","Otu00323","Otu00324","Otu00326","Otu00327","Otu00328","Otu00331","Otu00333","Otu00339","Otu00341","Otu00344","Otu00346","Otu00350","Otu00358","Otu00359","Otu00367","Otu00371","Otu00372","Otu00373","Otu00375","Otu00386","Otu00388","Otu00389","Otu00402","Otu00405","Otu00410","Otu00416","Otu00417","Otu00418","Otu00421","Otu00422","Otu00423","Otu00429","Otu00436","Otu00437","Otu00447","Otu00454","Otu00457","Otu00469","Otu00471","Otu00480","Otu00482","Otu00485","Otu00493","Otu00496","Otu00499","Otu00505","Otu00506","Otu00515","Otu00522","Otu00527","Otu00579","Otu00581","Otu00583","Otu00605","Otu00606","Otu00616","Otu00641","Otu00647","Otu00744","Otu00782"
"G41PR16",15571,10358,8738,2552,6595,443,821,1450,0,62,2871,1171,330,4598,0,0,242,0,0,148,8154,0,209,587,2350,112,0,0,0,464,0,0,0,0,151,0,0,0,95,0,0,0,0,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D46PR16",13279,9328,10034,4470,4201,4474,2317,9149,129,584,3457,2324,869,3508,13,0,604,242,0,204,883,439,66,2464,86,565,0,0,167,967,178,0,0,294,234,0,631,124,6,0,0,79,0,304,0,0,0,0,0,0,111,0,540,0,456,0,0,14,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J45PR16",15351,5105,15851,1324,6073,1968,819,152,0,0,3308,0,205,168,184,1007,0,0,0,71,1190,0,0,1110,154,0,0,0,0,115,0,0,0,0,273,0,0,0,6,0,0,0,357,506,0,0,0,0,0,0,0,0,234,0,166,0,0,0,0,0,0,0,46,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C34PR16",8152,6750,7455,526,9700,817,1608,16320,0,550,2045,296,597,382,96,795,122,0,0,148,2710,238,5421,432,345,2303,0,0,62,121,770,0,2531,468,240,247,245,0,0,0,0,64,20,578,239,0,0,0,106,136,570,77,91,0,0,0,0,111,0,0,313,0,45,0,7,359,0,0,0,0,64,0,0,286,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P43PR16",5276,4874,6033,2453,7074,3398,2392,433,0,671,1728,873,564,630,531,1177,1007,0,46,4706,186,15,0,478,1134,327,0,0,0,948,4,0,0,36,568,0,0,0,289,0,0,23,101,256,0,0,77,119,0,0,36,0,140,0,351,0,0,0,7,0,0,0,126,50,25,0,98,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M48PR16",12163,4024,2793,17134,2975,4142,606,2055,0,237,1275,152,341,1366,0,0,179,81,0,568,34,0,168,1264,805,134,0,0,24,1539,60,0,9,0,147,36,8,47,111,0,0,204,0,304,0,0,126,0,0,0,48,0,15,0,410,0,0,0,0,0,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S42PR16",4054,5404,6936,3398,9591,698,1779,958,397,97,1890,184,195,1196,278,1196,553,54,74,305,1665,401,15,538,763,135,0,0,0,462,30,0,0,0,468,113,6,0,0,0,0,0,197,288,0,0,30,68,0,4,21,0,0,0,32,0,0,0,0,0,0,0,105,0,19,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F47PR16",5988,6807,5991,2829,6151,4381,3269,7366,0,802,2587,1680,477,303,0,128,1817,245,0,142,748,0,3207,1508,147,2150,0,0,305,359,573,0,2270,495,284,729,595,0,43,0,0,15,0,0,397,0,72,0,37,124,633,0,445,0,196,0,0,0,0,0,287,122,141,0,0,435,0,0,0,0,0,0,0,163,0,0,0,0,309,0,0,0,0,0,0,19,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L50PR16",10791,6650,7262,4623,5065,3132,2676,2042,0,490,2532,212,368,1313,0,21,364,263,0,68,473,316,345,1825,83,665,345,0,160,202,13,525,467,0,988,189,0,0,0,0,0,148,0,309,0,0,361,0,0,0,0,142,700,0,160,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D35PR16",4132,4499,7056,440,6562,900,1716,1566,66,1623,2958,2286,386,2062,428,1550,581,44,416,294,2606,133,158,426,552,76,120,0,43,433,194,167,115,35,162,0,217,11,67,0,0,0,18,117,1,0,0,0,0,8,65,0,23,0,0,0,0,0,0,0,0,0,43,0,63,0,0,145,0,0,17,117,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,33,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
